"SUID","EdgeBetweenness","interaction","name","selected","shared interaction","shared name","Weight"
"92","4.0","inhibits","WIP4 (inhibits) AT4G14780","false","inhibits","WIP4 (inhibits) AT4G14780","0.89"
"93","4.0","regulates","WIP4 (regulates) AT1G59740","false","regulates","WIP4 (regulates) AT1G59740","1.0"
"94","4.0","inhibits","WIP4 (inhibits) AT3G51750","false","inhibits","WIP4 (inhibits) AT3G51750","1.0"
"95","5.0","inhibits","IAA33 (inhibits) AT1G75710","false","inhibits","IAA33 (inhibits) AT1G75710","0.9"
"96","3.0","inhibits","IAA33 (inhibits) AT1G67020","false","inhibits","IAA33 (inhibits) AT1G67020","0.9"
"97","3.0","inhibits","IAA33 (inhibits) AT2G38510","false","inhibits","IAA33 (inhibits) AT2G38510","0.92"
"98","1.5","inhibits","IAA33 (inhibits) AT5G26670","false","inhibits","IAA33 (inhibits) AT5G26670","1.0"
"99","10.0","inhibits","IAA33 (inhibits) AN3","false","inhibits","IAA33 (inhibits) AN3","1.0"
"100","3.0","activates","IAA33 (activates) MLP28","false","activates","IAA33 (activates) MLP28","1.0"
"101","3.0","inhibits","AT1G75710 (inhibits) AT1G72180","false","inhibits","AT1G75710 (inhibits) AT1G72180","0.33"
"102","6.0","activates","AT1G75710 (activates) WIP4","false","activates","AT1G75710 (activates) WIP4","0.63"
"103","1.5","activates","AT1G75710 (activates) AT5G26670","false","activates","AT1G75710 (activates) AT5G26670","0.79"
"104","12.0","inhibits","AT1G75710 (inhibits) AN3","false","inhibits","AT1G75710 (inhibits) AN3","1.0"
"105","3.0","activates","AT1G75710 (activates) AT5G16960","false","activates","AT1G75710 (activates) AT5G16960","1.0"
"106","3.0","inhibits","AN3 (inhibits) AT1G65920","false","inhibits","AN3 (inhibits) AT1G65920","0.33"
"107","3.0","activates","AN3 (activates) GBSS1","false","activates","AN3 (activates) GBSS1","0.99"
"108","3.0","regulates","AN3 (regulates) THA2","false","regulates","AN3 (regulates) THA2","1.0"
"109","6.0","inhibits","AN3 (inhibits) WIP4","false","inhibits","AN3 (inhibits) WIP4","1.0"
"110","3.0","inhibits","AN3 (inhibits) TAA1","false","inhibits","AN3 (inhibits) TAA1","1.0"
"111","8.5","inhibits","AN3 (inhibits) IAA33","false","inhibits","AN3 (inhibits) IAA33","1.0"
"112","3.0","inhibits","AN3 (inhibits) FLA10","false","inhibits","AN3 (inhibits) FLA10","1.0"
"113","3.0","inhibits","AN3 (inhibits) AT4G10010","false","inhibits","AN3 (inhibits) AT4G10010","1.0"
"114","3.0","activates","AN3 (activates) AT4G38410","false","activates","AN3 (activates) AT4G38410","1.0"
"115","3.5","activates","AN3 (activates) AT1G75710","false","activates","AN3 (activates) AT1G75710","1.0"
