"EdgeBetweenness","interaction","name","selected","shared interaction","shared name","sign","width"
"23.5","interacts with","NAC domain protein (interacts with) Cell number regulator 10","false","interacts with","NAC domain protein (interacts with) Cell number regulator 10","1","0.202699566286523"
"51.0","interacts with","NAC domain protein (interacts with) Solyc01g006240","false","interacts with","NAC domain protein (interacts with) Solyc01g006240","1","0.202699566286523"
"23.5","interacts with","NAC domain protein (interacts with) Solyc01g099950","false","interacts with","NAC domain protein (interacts with) Solyc01g099950","0","0.202699566286523"
"51.0","interacts with","NAC domain protein (interacts with) Solyc01g106650","false","interacts with","NAC domain protein (interacts with) Solyc01g106650","1","0.202699566286523"
"51.0","interacts with","NAC domain protein (interacts with) MAPprotein kinase-like protein","false","interacts with","NAC domain protein (interacts with) MAPprotein kinase-like protein","1","0.202699566286523"
"23.5","interacts with","NAC domain protein (interacts with) Aspartic proteinase","false","interacts with","NAC domain protein (interacts with) Aspartic proteinase","0","0.202699566286523"
"23.5","interacts with","NAC domain protein (interacts with) Solyc02g062300","false","interacts with","NAC domain protein (interacts with) Solyc02g062300","1","0.202699566286523"
"51.0","interacts with","NAC domain protein (interacts with) Solyc02g062390","false","interacts with","NAC domain protein (interacts with) Solyc02g062390","1","0.202699566286523"
"23.5","interacts with","NAC domain protein (interacts with) Carbonic anhydrase","false","interacts with","NAC domain protein (interacts with) Carbonic anhydrase","1","0.202699566286523"
"23.0","interacts with","NAC domain protein (interacts with) PTI5","false","interacts with","NAC domain protein (interacts with) PTI5","1","0.202699566286523"
"23.0","interacts with","NAC domain protein (interacts with) Homeobox-leucine zipper-like protein","false","interacts with","NAC domain protein (interacts with) Homeobox-leucine zipper-like protein","1","0.202699566286523"
"23.5","interacts with","NAC domain protein (interacts with) Squamosa promoter binding-like protein","false","interacts with","NAC domain protein (interacts with) Squamosa promoter binding-like protein","1","0.202699566286523"
"23.5","interacts with","NAC domain protein (interacts with) Solyc02g078400","false","interacts with","NAC domain protein (interacts with) Solyc02g078400","1","0.202699566286523"
