"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"72","0.0","0.0","0.0","0.0","0","1","1","false","AT1G72180","6.0","0","0","false","0","AT1G72180","0"
"73","0.0","0.0","0.0","0.0","0","1","1","false","AT1G65920","10.0","0","0","false","0","AT1G65920","0"
"74","0.0","0.0","0.0","0.0","0","1","1","false","AT4G14780","5.0","0","0","false","0","AT4G14780","0"
"75","0.0","0.0","0.0","0.0","0","1","1","false","AT1G67020","6.0","0","0","false","0","AT1G67020","0"
"76","0.0","0.0","0.0","0.0","0","1","1","false","AT2G38510","6.0","0","0","false","0","AT2G38510","0"
"77","0.0","0.0","0.0","0.0","0","1","1","false","GBSS1","10.0","0","0","false","0","GBSS1","0"
"78","0.0","0.0","0.0","0.0","0","1","1","false","AT1G59740","5.0","0","0","false","0","AT1G59740","0"
"79","0.0","0.0","0.0","0.0","0","1","1","false","AT3G51750","5.0","0","0","false","0","AT3G51750","0"
"80","0.0","0.0","0.0","0.5","0","2","2","false","AT5G26670","6.0","0","0","false","0","AT5G26670","0"
"81","0.0","0.0","0.0","0.0","0","1","1","false","MLP28","6.0","0","0","false","0","MLP28","0"
"82","0.0","0.0","0.0","0.0","0","1","1","false","AT5G16960","6.0","0","0","false","0","AT5G16960","0"
"83","0.0","0.0","0.0","0.0","0","1","1","false","THA2","10.0","0","0","false","0","THA2","0"
"84","1.0","0.02631579","1.0","0.1","1","5","2","false","WIP4","3.8","3","0","false","0","WIP4","12"
"85","0.0","0.0","0.0","0.0","0","1","1","false","TAA1","10.0","0","0","false","0","TAA1","0"
"86","1.84210526","0.01900585","0.54285714","0.1","3","7","1","false","IAA33","3.5","6","1","false","0","IAA33","7"
"87","0.0","0.0","0.0","0.0","0","1","1","false","FLA10","10.0","0","0","false","0","FLA10","0"
"88","0.0","0.0","0.0","0.0","0","1","1","false","AT4G10010","10.0","0","0","false","0","AT4G10010","0"
"89","0.0","0.0","0.0","0.0","0","1","1","false","AT4G38410","10.0","0","0","false","0","AT4G38410","0"
"90","1.89473684","0.01900585","0.52777778","0.13333333","3","7","2","false","AT1G75710","4.166666666666667","5","1","false","0","AT1G75710","9"
"91","1.47368421","0.05847953","0.67857143","0.02222222","2","12","2","false","AN3","2.4","10","2","false","0","AN3","22"
